Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
561,4.51E+14,Steeleville High School,4.51E+14,Steeleville CUSD 138,Steeleville,Randolph,HIGH SCHOOL,Non Chicago School,11,59.6
562,5.51E+14,Sterling High School,5.51E+14,Sterling CUSD 5,Sterling,Whiteside,HIGH SCHOOL,Non Chicago School,28.5,53.2
563,11087005A260001,Stewardson-Strasburg High School,11087005A260000,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,HIGH SCHOOL,Non Chicago School,17.5,56.7
564,8.04E+13,Stockton Sr High School,8.04E+13,Stockton CUSD 206,Stockton,Jo Daviess,HIGH SCHOOL,Non Chicago School,19.8,59.2
565,3.51E+14,Streator Twp High School,3.51E+14,Streator Twp HSD 40,Streator,La Salle,HIGH SCHOOL,Non Chicago School,24.9,47.8
566,1.11E+14,Sullivan High School,1.11E+14,Sullivan CUSD 300,Sullivan,Moultrie,HIGH SCHOOL,Non Chicago School,17.9,61
567,1.60E+14,Sycamore High School,1.60E+14,Sycamore CUSD 427,Sycamore,Dekalb,HIGH SCHOOL,Non Chicago School,5.2,68.3
568,1.00E+14,Taylorville Sr High School,1.00E+14,Taylorville CUSD 3,Taylorville,Christian,HIGH SCHOOL,Non Chicago School,20.2,52.1
569,3.03E+13,Teutopolis High School,3.03E+13,Teutopolis CUSD 50,Teutopolis,Effingham,HIGH SCHOOL,Non Chicago School,1.2,68.1
570,2.10E+14,THOMPSONVILLE HIGH SCHOOL,2.10E+14,THOMPSONVILLE CHSD 112,THOMPSONVILLE,FRANKLIN,HIGH SCHOOL,Non Chicago School,43.4,43.2
571,8.01E+13,THOMSON JR SR HIGH SCHOOL,8.01E+13,THOMSON COM UNIT DIST 301,THOMSON,CARROLL,HIGH SCHOOL,Non Chicago School,29.3,68.1
572,7.02E+13,Thornton Fractnl So High School,7.02E+13,Thornton Fractional Twp HSD 215,Lansing,Cook,HIGH SCHOOL,Non Chicago School,20.3,61.3
573,7.02E+13,Thornton Fractnl No High School,7.02E+13,Thornton Fractional Twp HSD 215,Calumet City,Cook,HIGH SCHOOL,Non Chicago School,59,45.7
574,7.02E+13,Thornwood High School,7.02E+13,Thornton Twp HSD 205,South Holland,Cook,HIGH SCHOOL,Non Chicago School,26.5,37.5
575,7.02E+13,Thornridge High School,7.02E+13,Thornton Twp HSD 205,Dolton,Cook,HIGH SCHOOL,Non Chicago School,34.8,28.9
576,7.02E+13,Thornton Township High School,7.02E+13,Thornton Twp HSD 205,Harvey,Cook,HIGH SCHOOL,Non Chicago School,58.6,28.4
577,9.01E+13,Unity High School,9.01E+13,Tolono CUSD 7,Tolono,Champaign,HIGH SCHOOL,Non Chicago School,10.2,66.8
578,5.02E+13,Wm Fremd High School,5.02E+13,Township HSD 211,Palatine,Cook,HIGH SCHOOL,Non Chicago School,4.1,78.5
579,5.02E+13,J B Conant High School,5.02E+13,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,Non Chicago School,0,73.2
580,5.02E+13,Schaumburg High School,5.02E+13,Township HSD 211,Schaumburg,Cook,HIGH SCHOOL,Non Chicago School,9.4,67.1
581,5.02E+13,Palatine High School,5.02E+13,Township HSD 211,Palatine,Cook,HIGH SCHOOL,Non Chicago School,23.1,66.7
582,5.02E+13,Hoffman Estates High School,5.02E+13,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,Non Chicago School,13.3,63.9
583,5.02E+13,Prospect High School,5.02E+13,Township HSD 214,Mt Prospect,Cook,HIGH SCHOOL,Non Chicago School,6.1,79.9
584,5.02E+13,John Hersey High School,5.02E+13,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,Non Chicago School,5.2,75.4
585,5.02E+13,Buffalo Grove High School,5.02E+13,Township HSD 214,Buffalo Grove,Cook,HIGH SCHOOL,Non Chicago School,5.4,76.2
586,5.02E+13,Rolling Meadows High School,5.02E+13,Township HSD 214,Rolling Meadows,Cook,HIGH SCHOOL,Non Chicago School,11,74.8
587,5.02E+13,Elk Grove High School,5.02E+13,Township HSD 214,Elk Grove Village,Cook,HIGH SCHOOL,Non Chicago School,13.9,69
588,5.02E+13,Wheeling High School,5.02E+13,Township HSD 214,Wheeling,Cook,HIGH SCHOOL,Non Chicago School,23.6,60.2
589,5.31E+14,Tremont High School,5.31E+14,Tremont CUSD 702,Tremont,Tazewell,HIGH SCHOOL,Non Chicago School,1,71.8
590,5.11E+14,Tri-City High School,5.11E+14,Tri City CUSD 1,Buffalo,Sangamon,HIGH SCHOOL,Non Chicago School,11.1,48.3
591,17053006J260001,Tri-Point High School,17053006J260000,Tri Point CUSD 6-J,Cullom,Livingston,HIGH SCHOOL,Non Chicago School,22.7,56.5
592,1.71E+14,Tri-Valley High School,1.71E+14,Tri Valley CUSD 3,Downs,McLean,HIGH SCHOOL,Non Chicago School,6.4,68
593,4.11E+14,Triad High School,4.11E+14,Triad CUSD 2,Troy,Madison,HIGH SCHOOL,Non Chicago School,10.9,58.9
594,3.00E+14,Trico Senior High School,3.00E+14,Trico CUSD 176,Campbell Hill,Jackson,HIGH SCHOOL,Non Chicago School,19.9,53.5
595,4.61E+14,Triopia Jr-Sr High School,4.61E+14,Triopia CUSD 27,Concord,Morgan,HIGH SCHOOL,Non Chicago School,13,60
596,1.10E+14,Tuscola High School,1.10E+14,Tuscola CUSD 301,Tuscola,Douglas,HIGH SCHOOL,Non Chicago School,8.9,60.1
