Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
334,1.50E+14,West Park Elem Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.2,35.5
335,1.50E+14,Funston Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96.9,46.9
336,1.50E+14,Manierre Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,98.5,27.6
337,1.50E+14,Casals Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,98.7,39
338,1.50E+14,Lewis Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,89.7,30.8
339,1.50E+14,Avalon Park Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,94,27.7
340,1.50E+14,Harvard Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.3,19.5
341,1.50E+14,Brighton Park Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,94.1,55.8
342,1.50E+14,Lavizzo Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.4,26.4
343,1.50E+14,Melody Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.9,32.5
344,1.50E+14,Nixon Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96.3,50.9
